
Status: FAILED!
Check: 1
Test: Problem 43
Reason: Expected:
+---------+-----------------------------------+-------------------+-------------+
| VEND_ID |             VEND_NAME             |    BRAND_NAME     | NUMPRODUCTS |
|   10    |  Lambert Decor of New Hampshire   |      LE MODE      |      2      |
|   10    |  Lambert Decor of New Hampshire   |     LONG HAUL     |      2      |
|   10    |  Lambert Decor of New Hampshire   | OLDE TYME QUALITY |      1      |
|   10    |  Lambert Decor of New Hampshire   |   STUTTENFURST    |      1      |
|    3    |        Leal Decor Workshop        |      BUSTERS      |      1      |
|    3    |        Leal Decor Workshop        |  FORESTERS BEST   |      3      |
|    3    |        Leal Decor Workshop        |   HOME COMFORT    |     36      |
|    3    |        Leal Decor Workshop        |      LE MODE      |      3      |
|    3    |        Leal Decor Workshop        |     LONG HAUL     |      3      |
|    3    |        Leal Decor Workshop        | OLDE TYME QUALITY |      2      |
|    3    |        Leal Decor Workshop        |   STUTTENFURST    |      1      |
|    3    |        Leal Decor Workshop        |    VALU-MATTE     |      1      |
|   18    |   Ledbetter Chemical of Vermont   |   BINDER PRIME    |     27      |
|   18    |   Ledbetter Chemical of Vermont   |      BUSTERS      |      2      |
|   18    |   Ledbetter Chemical of Vermont   |   HOME COMFORT    |     36      |
|   18    |   Ledbetter Chemical of Vermont   |      LE MODE      |      1      |
|   18    |   Ledbetter Chemical of Vermont   |     LONG HAUL     |      1      |
|   18    |   Ledbetter Chemical of Vermont   |   STUTTENFURST    |      1      |
|   18    |   Ledbetter Chemical of Vermont   |    VALU-MATTE     |      1      |
|   17    |        Linden Consolidated        |   BINDER PRIME    |     27      |
|   17    |        Linden Consolidated        |      BUSTERS      |      3      |
|   17    |        Linden Consolidated        |   HOME COMFORT    |      1      |
|   17    |        Linden Consolidated        |      LE MODE      |      2      |
|   17    |        Linden Consolidated        |     LONG HAUL     |      1      |
|   17    |        Linden Consolidated        | OLDE TYME QUALITY |      1      |
|   17    |        Linden Consolidated        |   STUTTENFURST    |      4      |
|    1    |  Mt Blanchard Solvents Supplies   |   BINDER PRIME    |     27      |
|    1    |  Mt Blanchard Solvents Supplies   |      BUSTERS      |      1      |
|    1    |  Mt Blanchard Solvents Supplies   | OLDE TYME QUALITY |      4      |
|   16    |    National Solubles Partners     |   BINDER PRIME    |     27      |
|   16    |    National Solubles Partners     |      BUSTERS      |      1      |
|   16    |    National Solubles Partners     |   HOME COMFORT    |     36      |
|   16    |    National Solubles Partners     |      LE MODE      |      3      |
|   16    |    National Solubles Partners     |     LONG HAUL     |      1      |
|   16    |    National Solubles Partners     | OLDE TYME QUALITY |      3      |
|   16    |    National Solubles Partners     |    VALU-MATTE     |      2      |
|    5    |  National Wholesale Consolidated  |   BINDER PRIME    |     27      |
|    5    |  National Wholesale Consolidated  |      BUSTERS      |      3      |
|    5    |  National Wholesale Consolidated  |  FORESTERS BEST   |      1      |
|    5    |  National Wholesale Consolidated  |   HOME COMFORT    |     36      |
|    5    |  National Wholesale Consolidated  |      LE MODE      |      4      |
|    5    |  National Wholesale Consolidated  |     LONG HAUL     |      1      |
|    5    |  National Wholesale Consolidated  | OLDE TYME QUALITY |      2      |
|    5    |  National Wholesale Consolidated  |   STUTTENFURST    |      3      |
|    6    |   Pine Hill Chemical Warehouse    |      BUSTERS      |      1      |
|    6    |   Pine Hill Chemical Warehouse    |  FORESTERS BEST   |      1      |
|    6    |   Pine Hill Chemical Warehouse    |   HOME COMFORT    |      1      |
|    6    |   Pine Hill Chemical Warehouse    |      LE MODE      |      3      |
|    6    |   Pine Hill Chemical Warehouse    |     LONG HAUL     |      1      |
|    6    |   Pine Hill Chemical Warehouse    | OLDE TYME QUALITY |      1      |
|    6    |   Pine Hill Chemical Warehouse    |   STUTTENFURST    |      1      |
|    6    |   Pine Hill Chemical Warehouse    |    VALU-MATTE     |      3      |
|    4    |         Ripley Warehouse          |   BINDER PRIME    |     27      |
|    4    |         Ripley Warehouse          |      BUSTERS      |      1      |
|    4    |         Ripley Warehouse          |   HOME COMFORT    |     36      |
|    4    |         Ripley Warehouse          |   STUTTENFURST    |      1      |
|    4    |         Ripley Warehouse          |    VALU-MATTE     |      1      |
|   22    |       Rivera Decor Partners       |   BINDER PRIME    |     27      |
|   22    |       Rivera Decor Partners       |  FORESTERS BEST   |      1      |
|   22    |       Rivera Decor Partners       |     LONG HAUL     |      2      |
|   22    |       Rivera Decor Partners       | OLDE TYME QUALITY |      1      |
|   22    |       Rivera Decor Partners       |   STUTTENFURST    |      2      |
|   19    |   S Plymouth Solubles Workshop    |   BINDER PRIME    |     27      |
|   19    |   S Plymouth Solubles Workshop    |      BUSTERS      |      1      |
|   19    |   S Plymouth Solubles Workshop    |  FORESTERS BEST   |      1      |
|   19    |   S Plymouth Solubles Workshop    |   HOME COMFORT    |     36      |
|   19    |   S Plymouth Solubles Workshop    |     LONG HAUL     |      1      |
|   19    |   S Plymouth Solubles Workshop    |   STUTTENFURST    |      3      |
|   11    |  Super Solubles of Pennsylvania   |   BINDER PRIME    |     27      |
|   11    |  Super Solubles of Pennsylvania   |      BUSTERS      |      1      |
|   11    |  Super Solubles of Pennsylvania   |      LE MODE      |      2      |
|   11    |  Super Solubles of Pennsylvania   |     LONG HAUL     |      2      |
|   11    |  Super Solubles of Pennsylvania   | OLDE TYME QUALITY |      2      |
|   15    |    Unlimited Wholesale of Ohio    |   BINDER PRIME    |     27      |
|   15    |    Unlimited Wholesale of Ohio    |      BUSTERS      |      1      |
|   15    |    Unlimited Wholesale of Ohio    |      LE MODE      |      1      |
|   15    |    Unlimited Wholesale of Ohio    |     LONG HAUL     |     33      |
|   15    |    Unlimited Wholesale of Ohio    |   STUTTENFURST    |      1      |
|   15    |    Unlimited Wholesale of Ohio    |    VALU-MATTE     |      2      |
|    2    |    Warren Paints Consolidated     |  FORESTERS BEST   |      3      |
|    2    |    Warren Paints Consolidated     |   HOME COMFORT    |     36      |
|    2    |    Warren Paints Consolidated     |      LE MODE      |      1      |
|    2    |    Warren Paints Consolidated     |     LONG HAUL     |      2      |
|    2    |    Warren Paints Consolidated     | OLDE TYME QUALITY |      2      |
|    2    |    Warren Paints Consolidated     |   STUTTENFURST    |      1      |
|    2    |    Warren Paints Consolidated     |    VALU-MATTE     |      2      |
|   14    |    Watkins Wholesale Warehouse    |   BINDER PRIME    |     27      |
|   14    |    Watkins Wholesale Warehouse    |      BUSTERS      |      1      |
|   14    |    Watkins Wholesale Warehouse    |   HOME COMFORT    |     36      |
|   14    |    Watkins Wholesale Warehouse    |      LE MODE      |      2      |
|   14    |    Watkins Wholesale Warehouse    |     LONG HAUL     |      2      |
|   14    |    Watkins Wholesale Warehouse    |   STUTTENFURST    |      2      |
|   14    |    Watkins Wholesale Warehouse    |    VALU-MATTE     |      3      |
+---------+-----------------------------------+-------------------+-------------+
Found:
+---------+-----------------------------------+-------------------+--------------------------+
| VEND_ID |             VEND_NAME             |    BRAND_NAME     | NUMBEROFPRODUCTSSUPPLIED |
+---------+-----------------------------------+-------------------+--------------------------+
|    8    |   Baltimore Paints Consolidated   |   BINDER PRIME    |            27            |
|    8    |   Baltimore Paints Consolidated   |  FORESTERS BEST   |            1             |
|    8    |   Baltimore Paints Consolidated   |   HOME COMFORT    |            36            |
|    8    |   Baltimore Paints Consolidated   |      LE MODE      |            3             |
|    8    |   Baltimore Paints Consolidated   |     LONG HAUL     |            3             |
|    8    |   Baltimore Paints Consolidated   |    VALU-MATTE     |            1             |
|   13    |     Boykin Chemical Workshop      |      BUSTERS      |            1             |
|   13    |     Boykin Chemical Workshop      |      LE MODE      |            2             |
|   13    |     Boykin Chemical Workshop      |     LONG HAUL     |            2             |
|   13    |     Boykin Chemical Workshop      | OLDE TYME QUALITY |            2             |
|   13    |     Boykin Chemical Workshop      |   STUTTENFURST    |            1             |
|   13    |     Boykin Chemical Workshop      |    VALU-MATTE     |            1             |
|    9    | Donahue Solubles of West Virginia |   BINDER PRIME    |            27            |
|    9    | Donahue Solubles of West Virginia |      BUSTERS      |            1             |
|    9    | Donahue Solubles of West Virginia |   HOME COMFORT    |            36            |
|    9    | Donahue Solubles of West Virginia |      LE MODE      |            1             |
|    9    | Donahue Solubles of West Virginia |     LONG HAUL     |            3             |
|    9    | Donahue Solubles of West Virginia | OLDE TYME QUALITY |            1             |
|    9    | Donahue Solubles of West Virginia |   STUTTENFURST    |            2             |
|   21    | Internation Solvents of Virginia  |   BINDER PRIME    |            27            |
|   21    | Internation Solvents of Virginia  |   HOME COMFORT    |            36            |
|   21    | Internation Solvents of Virginia  |     LONG HAUL     |            3             |
|   21    | Internation Solvents of Virginia  | OLDE TYME QUALITY |            1             |
|   21    | Internation Solvents of Virginia  |   STUTTENFURST    |            1             |
|   12    |   International Decor Partners    |   BINDER PRIME    |            27            |
|   12    |   International Decor Partners    |      BUSTERS      |            2             |
|   12    |   International Decor Partners    |   HOME COMFORT    |            36            |
|   12    |   International Decor Partners    |      LE MODE      |            2             |
|   20    |   Irvington Wholesale Workshop    |      BUSTERS      |            1             |
|   20    |   Irvington Wholesale Workshop    |  FORESTERS BEST   |            1             |
|   20    |   Irvington Wholesale Workshop    |   HOME COMFORT    |            1             |
|   20    |   Irvington Wholesale Workshop    |      LE MODE      |            2             |
|   20    |   Irvington Wholesale Workshop    |     LONG HAUL     |            4             |
|   20    |   Irvington Wholesale Workshop    |    VALU-MATTE     |            1             |
|    7    |       Kenny Paints Workshop       |   BINDER PRIME    |            27            |
|    7    |       Kenny Paints Workshop       |      BUSTERS      |            1             |
|    7    |       Kenny Paints Workshop       |  FORESTERS BEST   |            2             |
|    7    |       Kenny Paints Workshop       |   HOME COMFORT    |            36            |
|    7    |       Kenny Paints Workshop       |      LE MODE      |            2             |
|    7    |       Kenny Paints Workshop       |     LONG HAUL     |            4             |
|    7    |       Kenny Paints Workshop       | OLDE TYME QUALITY |            4             |
|    7    |       Kenny Paints Workshop       |   STUTTENFURST    |            2             |
|   10    |  Lambert Decor of New Hampshire   |   BINDER PRIME    |            27            |
|   10    |  Lambert Decor of New Hampshire   |      BUSTERS      |            2             |
|   10    |  Lambert Decor of New Hampshire   |  FORESTERS BEST   |            1             |
|   10    |  Lambert Decor of New Hampshire   |   HOME COMFORT    |            36            |
|   10    |  Lambert Decor of New Hampshire   |      LE MODE      |            2             |
|   10    |  Lambert Decor of New Hampshire   |     LONG HAUL     |            2             |
|   10    |  Lambert Decor of New Hampshire   | OLDE TYME QUALITY |            1             |
|   10    |  Lambert Decor of New Hampshire   |   STUTTENFURST    |            1             |
|    3    |        Leal Decor Workshop        |      BUSTERS      |            1             |
|    3    |        Leal Decor Workshop        |  FORESTERS BEST   |            3             |
|    3    |        Leal Decor Workshop        |   HOME COMFORT    |            36            |
|    3    |        Leal Decor Workshop        |      LE MODE      |            3             |
|    3    |        Leal Decor Workshop        |     LONG HAUL     |            3             |
|    3    |        Leal Decor Workshop        | OLDE TYME QUALITY |            2             |
|    3    |        Leal Decor Workshop        |   STUTTENFURST    |            1             |
|    3    |        Leal Decor Workshop        |    VALU-MATTE     |            1             |
|   18    |   Ledbetter Chemical of Vermont   |   BINDER PRIME    |            27            |
|   18    |   Ledbetter Chemical of Vermont   |      BUSTERS      |            2             |
|   18    |   Ledbetter Chemical of Vermont   |   HOME COMFORT    |            36            |
|   18    |   Ledbetter Chemical of Vermont   |      LE MODE      |            1             |
|   18    |   Ledbetter Chemical of Vermont   |     LONG HAUL     |            1             |
|   18    |   Ledbetter Chemical of Vermont   |   STUTTENFURST    |            1             |
|   18    |   Ledbetter Chemical of Vermont   |    VALU-MATTE     |            1             |
|   17    |        Linden Consolidated        |   BINDER PRIME    |            27            |
|   17    |        Linden Consolidated        |      BUSTERS      |            3             |
|   17    |        Linden Consolidated        |   HOME COMFORT    |            1             |
|   17    |        Linden Consolidated        |      LE MODE      |            2             |
|   17    |        Linden Consolidated        |     LONG HAUL     |            1             |
|   17    |        Linden Consolidated        | OLDE TYME QUALITY |            1             |
|   17    |        Linden Consolidated        |   STUTTENFURST    |            4             |
|    1    |  Mt Blanchard Solvents Supplies   |   BINDER PRIME    |            27            |
|    1    |  Mt Blanchard Solvents Supplies   |      BUSTERS      |            1             |
|    1    |  Mt Blanchard Solvents Supplies   | OLDE TYME QUALITY |            4             |
|   16    |    National Solubles Partners     |   BINDER PRIME    |            27            |
|   16    |    National Solubles Partners     |      BUSTERS      |            1             |
|   16    |    National Solubles Partners     |   HOME COMFORT    |            36            |
|   16    |    National Solubles Partners     |      LE MODE      |            3             |
|   16    |    National Solubles Partners     |     LONG HAUL     |            1             |
|   16    |    National Solubles Partners     | OLDE TYME QUALITY |            3             |
|   16    |    National Solubles Partners     |    VALU-MATTE     |            2             |
|    5    |  National Wholesale Consolidated  |   BINDER PRIME    |            27            |
|    5    |  National Wholesale Consolidated  |      BUSTERS      |            3             |
|    5    |  National Wholesale Consolidated  |  FORESTERS BEST   |            1             |
|    5    |  National Wholesale Consolidated  |   HOME COMFORT    |            36            |
|    5    |  National Wholesale Consolidated  |      LE MODE      |            4             |
|    5    |  National Wholesale Consolidated  |     LONG HAUL     |            1             |
|    5    |  National Wholesale Consolidated  | OLDE TYME QUALITY |            2             |
|    5    |  National Wholesale Consolidated  |   STUTTENFURST    |            3             |
|    6    |   Pine Hill Chemical Warehouse    |      BUSTERS      |            1             |
|    6    |   Pine Hill Chemical Warehouse    |  FORESTERS BEST   |            1             |
|    6    |   Pine Hill Chemical Warehouse    |   HOME COMFORT    |            1             |
|    6    |   Pine Hill Chemical Warehouse    |      LE MODE      |            3             |
|    6    |   Pine Hill Chemical Warehouse    |     LONG HAUL     |            1             |
|    6    |   Pine Hill Chemical Warehouse    | OLDE TYME QUALITY |            1             |
|    6    |   Pine Hill Chemical Warehouse    |   STUTTENFURST    |            1             |
|    6    |   Pine Hill Chemical Warehouse    |    VALU-MATTE     |            3             |
|    4    |         Ripley Warehouse          |   BINDER PRIME    |            27            |
|    4    |         Ripley Warehouse          |      BUSTERS      |            1             |
|    4    |         Ripley Warehouse          |   HOME COMFORT    |            36            |
|    4    |         Ripley Warehouse          |   STUTTENFURST    |            1             |
|    4    |         Ripley Warehouse          |    VALU-MATTE     |            1             |
|   22    |       Rivera Decor Partners       |   BINDER PRIME    |            27            |
|   22    |       Rivera Decor Partners       |  FORESTERS BEST   |            1             |
|   22    |       Rivera Decor Partners       |     LONG HAUL     |            2             |
|   22    |       Rivera Decor Partners       | OLDE TYME QUALITY |            1             |
|   22    |       Rivera Decor Partners       |   STUTTENFURST    |            2             |
|   19    |   S Plymouth Solubles Workshop    |   BINDER PRIME    |            27            |
|   19    |   S Plymouth Solubles Workshop    |      BUSTERS      |            1             |
|   19    |   S Plymouth Solubles Workshop    |  FORESTERS BEST   |            1             |
|   19    |   S Plymouth Solubles Workshop    |   HOME COMFORT    |            36            |
|   19    |   S Plymouth Solubles Workshop    |     LONG HAUL     |            1             |
|   19    |   S Plymouth Solubles Workshop    |   STUTTENFURST    |            3             |
|   11    |  Super Solubles of Pennsylvania   |   BINDER PRIME    |            27            |
|   11    |  Super Solubles of Pennsylvania   |      BUSTERS      |            1             |
|   11    |  Super Solubles of Pennsylvania   |      LE MODE      |            2             |
|   11    |  Super Solubles of Pennsylvania   |     LONG HAUL     |            2             |
|   11    |  Super Solubles of Pennsylvania   | OLDE TYME QUALITY |            2             |
|   15    |    Unlimited Wholesale of Ohio    |   BINDER PRIME    |            27            |
|   15    |    Unlimited Wholesale of Ohio    |      BUSTERS      |            1             |
|   15    |    Unlimited Wholesale of Ohio    |      LE MODE      |            1             |
|   15    |    Unlimited Wholesale of Ohio    |     LONG HAUL     |            33            |
|   15    |    Unlimited Wholesale of Ohio    |   STUTTENFURST    |            1             |
|   15    |    Unlimited Wholesale of Ohio    |    VALU-MATTE     |            2             |
|    2    |    Warren Paints Consolidated     |  FORESTERS BEST   |            3             |
|    2    |    Warren Paints Consolidated     |   HOME COMFORT    |            36            |
|    2    |    Warren Paints Consolidated     |      LE MODE      |            1             |
|    2    |    Warren Paints Consolidated     |     LONG HAUL     |            2             |
|    2    |    Warren Paints Consolidated     | OLDE TYME QUALITY |            2             |
|    2    |    Warren Paints Consolidated     |   STUTTENFURST    |            1             |
|    2    |    Warren Paints Consolidated     |    VALU-MATTE     |            2             |
|   14    |    Watkins Wholesale Warehouse    |   BINDER PRIME    |            27            |
|   14    |    Watkins Wholesale Warehouse    |      BUSTERS      |            1             |
|   14    |    Watkins Wholesale Warehouse    |   HOME COMFORT    |            36            |
|   14    |    Watkins Wholesale Warehouse    |      LE MODE      |            2             |
|   14    |    Watkins Wholesale Warehouse    |     LONG HAUL     |            2             |
|   14    |    Watkins Wholesale Warehouse    |   STUTTENFURST    |            2             |
|   14    |    Watkins Wholesale Warehouse    |    VALU-MATTE     |            3             |
+---------+-----------------------------------+-------------------+--------------------------+
Error : AssertionError - 
Timestamp: 2025-06-08 05:35:04.440443
